song_id,valence_mean,valence_std,arousal_mean,arousal_std
2,3.0,0.66667,3.1,0.99443
3,3.3,1.7029,3.5,1.8409
4,5.5,1.7159,5.7,1.4944
5,5.3,1.9465,4.4,2.1187
7,6.4,1.7764,5.8,1.5492
8,4.8,1.6193,3.2,1.4757
10,4.7,1.9465,4.0,1.7638
12,5.8,1.9889,5.5,2.0138
13,4.0,1.7638,3.2,1.4757
17,6.0,2.1602,4.4,1.8974
18,3.9,1.4491,4.8,1.8135
19,4.3,2.0028,5.9,1.7288
20,6.5,2.2236,5.4,2.6331
21,6.3,1.4944,6.6,0.96609
22,4.8,1.5492,4.0,1.4142
24,3.9,1.8529,5.3,1.7029
25,4.7,2.6687,7.9,0.73786
31,3.8,1.6193,4.7,1.6364
32,3.3,1.567,4.2,1.8738
35,6.5,2.2236,4.8,2.2509
37,5.3,2.1108,6.6,2.2211
39,5.4,2.5033,7.3,1.9465
40,4.8,1.6193,4.6,1.3499
41,5.1,1.3703,4.3,1.7029
42,5.1,2.0248,6.1,1.6633
43,3.5,1.5811,6.7,2.4518
44,4.9,1.6633,3.9,1.1005
45,2.1,1.4491,5.1,2.5582
46,4.0,1.8257,5.3,2.0575
47,4.4,1.6465,4.4,1.8379
48,4.8,1.8738,4.5,1.9579
49,5.3,1.2517,3.9,1.3703
50,4.8,1.1353,3.6,1.075
51,3.2,1.0328,3.6,1.1738
52,5.1,1.912,4.6,1.1738
53,5.1,1.792,4.3,2.4967
54,3.3,1.7029,3.1,1.6633
55,5.4,1.1738,5.8,1.3984
56,5.8,1.4757,6.4,1.5055
58,3.4,1.6465,3.3,1.6364
59,4.1,2.0248,5.3,1.8288
60,6.4,0.5164,4.3,1.567
62,3.9,1.2867,6.2,0.91894
64,4.9,1.6633,3.6,1.3499
65,5.8,1.9322,6.4,1.5055
67,6.8,1.4757,7.2,0.78881
68,4.9,1.7288,3.8,1.3984
69,3.9,0.8756,3.2,0.91894
70,3.6,1.5055,4.4,1.7764
71,3.7,0.82327,5.9,1.5951
72,5.6,2.1187,6.7,1.8288
73,5.6,1.8379,5.8,1.8135
74,4.3,1.4944,3.0,1.7638
76,3.2,1.9322,4.3,1.4944
77,2.9,1.1972,4.2,2.1499
78,3.9,2.0248,3.4,1.6465
79,5.5,1.4337,5.5,2.2236
80,5.1,1.4491,6.0,1.4142
81,3.9,1.792,6.1,2.0248
82,3.5,1.7159,2.9,1.5239
83,5.8,1.8135,6.1,1.1005
84,5.6,1.8379,5.9,2.1318
85,6.2,1.6865,7.1,1.1972
86,5.6,1.2649,5.4,1.7127
87,2.6,0.96609,5.3,2.5841
88,5.5,1.354,6.7,1.8288
89,4.8,2.1499,4.5,2.4152
90,4.2,1.8135,4.3,1.8288
91,5.5,1.2693,4.5,1.5092
92,4.7,1.8886,5.8,2.2998
93,6.0,1.8257,7.2,0.78881
95,4.6,2.319,3.3,1.9465
96,6.9,1.3703,6.8,1.3984
98,2.7,1.4944,4.3,1.8288
99,4.1,2.079,4.3,1.9465
101,2.8,0.91894,3.4,1.7127
102,5.4,1.6465,6.5,0.97183
103,3.3,1.8886,5.6,2.0111
104,3.3,1.8886,6.1,1.912
105,5.0,1.4907,6.5,1.5092
106,3.3,1.2517,4.6,1.5776
107,4.8,2.2509,6.0,2.1082
108,4.2,2.044,4.5,1.7159
109,4.5,1.5811,4.4,2.3664
110,2.8,0.91894,4.4,1.8974
111,5.3,1.4944,5.3,1.3375
112,6.4,1.6465,6.8,1.0328
113,3.8,0.91894,5.4,1.3499
114,5.7,0.94868,4.8,0.78881
115,7.8,1.2293,8.4,0.69921
116,3.9,1.2867,4.4,1.6465
117,5.0,1.8257,3.9,1.5239
118,4.6,1.9551,4.9,2.0248
119,3.2,1.3166,4.3,2.406
120,5.0,1.6997,3.8,1.6865
121,3.9,1.5951,3.1,0.8756
122,4.6,1.9551,5.5,2.0138
123,6.2,1.5492,6.1,1.6633
124,2.8,0.78881,3.7,1.3375
125,4.2,1.3984,4.5,1.9579
126,6.1,1.4491,5.1,1.7288
127,5.3,1.767,3.0,1.9437
128,4.0,1.633,3.6,1.5055
129,6.0,1.7638,4.2,1.8135
130,4.2,1.3984,3.3,1.4944
131,4.9,1.7288,6.1,1.1005
133,2.2,1.2293,2.8,2.0976
134,6.0,1.2472,5.4,1.8379
135,3.5,1.5092,3.7,2.3594
136,6.2,1.1353,6.8,1.3984
137,5.8,1.3984,4.3,1.767
138,2.4,0.96609,3.8,2.7809
140,4.5,2.1213,4.2,1.5492
142,4.8,1.8135,4.6,1.8974
143,4.9,1.5239,4.0,1.8257
144,4.7,0.94868,3.4,1.1738
145,5.4,2.0111,3.1,2.0248
146,3.5,2.0138,2.4,1.8974
148,5.0,2.1602,4.7,1.2517
149,3.1,2.0248,3.4,1.9551
150,5.4,2.319,5.0,2.582
151,4.5,1.354,4.0,2.0548
152,5.6,1.5055,4.4,1.7127
153,4.5,1.7795,3.9,2.0248
154,4.1,1.9692,4.2,1.7512
155,5.4,0.96609,3.6,2.0656
156,6.7,0.48305,6.4,1.2649
157,6.2,1.1353,4.0,1.7638
158,3.6,1.5055,2.1,0.73786
159,3.1,1.912,3.8,2.6998
160,3.5,1.6499,3.5,2.2236
161,3.5,2.0138,6.3,1.2517
162,4.6,1.075,3.7,1.767
163,4.5,1.4337,3.6,1.3499
164,2.9,2.079,4.1,1.792
166,4.2,1.1353,3.1,1.5239
167,3.3,1.7029,2.7,1.4181
168,3.4,1.6465,3.3,1.4181
169,2.8,1.1353,2.4,0.84327
170,5.0,1.5635,3.0,1.633
171,3.6,1.8379,2.1,0.73786
172,5.0,2.357,3.8,2.3476
